direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2021/05/02,37240,2021/05/02,36993.25,-246.75,-0.6625939849624061,0.993374060150376,5,,-0.1325187969924812,1,exit-rule,35378,,
long,2021/05/02,36958.33,2021/05/02,37266.79,308.4599999999991,0.834615633336244,1.0083461563333624,4.999999999999998,,0.1669231266672489,1,exit-rule,35110.4135,,
long,2021/05/02,37251.07,2021/05/02,37691.32,440.25,1.181845246324468,1.0118184524632448,5.000000000000005,,0.23636904926489338,1,exit-rule,35388.5165,,
long,2021/07/02,39181.01,2021/07/02,38747.31,-433.70000000000437,-1.1069137829780407,0.9889308621702196,4.999999999999993,,-0.22138275659560838,2,exit-rule,37221.959500000004,,
long,2021/07/02,38312.99,2021/07/02,39030,717.010000000002,1.8714540420886026,1.018714540420886,4.999999999999999,,0.37429080841772056,2,exit-rule,36397.3405,,
long,2021/07/02,39513.92,2021/07/02,39044.37,-469.54999999999563,-1.1883154088483139,0.9881168459115168,4.99999999999999,,-0.23766308176966322,1,exit-rule,37538.224,,
long,2021/07/02,38629.26,2021/08/02,39269.78,640.5199999999968,1.6581213308253815,1.016581213308254,5.000000000000009,,0.33162426616507573,17,exit-rule,36697.797,,
long,2021/10/02,46259.97,2021/10/02,46225.71,-34.26000000000204,-0.07405971080396731,0.9992594028919604,5.000000000000003,,-0.014811942160793453,1,exit-rule,43946.9715,,
long,2021/10/02,46132,2021/10/02,46565.11,433.1100000000006,0.9388493887106577,1.0093884938871065,4.9999999999999964,,0.18776987774213164,1,exit-rule,43825.4,,
long,2021/10/02,46549.99,2021/10/02,46586.55,36.56000000000495,0.07853922202777047,1.0007853922202776,4.9999999999999964,,0.015707844405554106,1,exit-rule,44222.4905,,
