date,open,high,low,close,volume,quoteVolume
"01/01/2021, 12:00:00",29202.21000000,29344.97000000,29152.88000000,29223.82000000,1944.25584100,56881923.87605724
"01/01/2021, 13:00:00",29223.82000000,29402.57000000,29212.44000000,29313.49000000,2309.22771700,67680909.41227815
"01/01/2021, 14:00:00",29313.49000000,29600.00000000,29150.00000000,29233.49000000,4191.91516100,123253838.23617110
"01/01/2021, 15:00:00",29233.49000000,29470.00000000,29200.00000000,29464.79000000,2211.29829000,64952612.17843147
"01/01/2021, 16:00:00",29464.79000000,29530.00000000,29266.15000000,29327.84000000,2612.67217000,76824362.53364532
"01/01/2021, 17:00:00",29327.83000000,29391.00000000,29030.14000000,29188.67000000,2779.06389400,81232002.48765679
"01/01/2021, 18:00:00",29188.67000000,29360.00000000,29125.00000000,29300.57000000,1490.32948400,43610391.87454118
"01/01/2021, 19:00:00",29300.79000000,29339.76000000,28937.00000000,29079.64000000,2504.97709900,73023440.33533108
"01/01/2021, 20:00:00",29077.59000000,29259.98000000,28624.57000000,29072.70000000,4226.43004100,122480565.74309262
"01/01/2021, 21:00:00",29072.70000000,29125.32000000,28950.00000000,29029.04000000,1629.22872100,47324728.28361069
"01/01/2021, 22:00:00",29029.04000000,29279.72000000,28880.37000000,29200.96000000,1838.54908200,53590098.13888548
"01/01/2021, 23:00:00",29200.97000000,29289.82000000,29130.00000000,29160.39000000,1447.22964100,42285361.51600605
"02/01/2021, 00:00:00",29163.17000000,29326.74000000,29104.57000000,29262.32000000,1127.03589700,32972283.53778708
"02/01/2021, 01:00:00",29262.32000000,29338.89000000,29228.14000000,29331.69000000,971.12338500,28443882.37070015
"02/01/2021, 02:00:00",29331.70000000,29338.59000000,28946.53000000,29197.48000000,2638.15937900,76856531.55900287
"02/01/2021, 03:00:00",29197.93000000,29400.00000000,29100.00000000,29359.47000000,1891.99724900,55385402.78970417
"02/01/2021, 04:00:00",29359.46000000,29469.00000000,29320.01000000,29323.82000000,1704.83013700,50111457.75322650
"02/01/2021, 05:00:00",29323.82000000,29382.49000000,29256.85000000,29351.95000000,1158.04176100,33963115.16512242
"02/01/2021, 06:00:00",29351.95000000,29396.00000000,29220.00000000,29349.63000000,988.71107000,28985783.95102539
"02/01/2021, 07:00:00",29349.63000000,29590.00000000,29349.63000000,29589.99000000,2778.87823100,81957934.92152147
"02/01/2021, 08:00:00",29589.99000000,29745.00000000,29450.00000000,29709.07000000,3030.24082000,89791157.01909066
"02/01/2021, 09:00:00",29709.06000000,29820.50000000,29623.31000000,29750.00000000,3067.81272400,91222945.57779763
"02/01/2021, 10:00:00",29751.47000000,29849.11000000,29640.00000000,29844.51000000,2358.08824100,70213292.48882387
"02/01/2021, 11:00:00",29844.52000000,29899.00000000,29578.05000000,29612.87000000,3188.49737500,94891130.35379542
"02/01/2021, 12:00:00",29612.88000000,29829.00000000,29473.91000000,29680.99000000,2315.18233700,68694488.75869353
"02/01/2021, 13:00:00",29679.51000000,29780.53000000,29622.79000000,29755.00000000,1365.03665500,40570945.42355006
"02/01/2021, 14:00:00",29754.99000000,30888.00000000,29741.39000000,30604.03000000,12772.56604400,387025691.68456484
"02/01/2021, 15:00:00",30604.03000000,31561.87000000,30521.00000000,31541.17000000,9182.42970300,284862696.67061101
"02/01/2021, 16:00:00",31546.06000000,31567.89000000,31065.00000000,31290.53000000,6447.78389700,201609364.53663465
"02/01/2021, 17:00:00",31290.53000000,31800.00000000,31236.37000000,31691.29000000,5626.19375500,177435149.22325535
"02/01/2021, 18:00:00",31691.09000000,33000.00000000,31616.42000000,32482.28000000,15432.28518600,500065150.69207718
"02/01/2021, 19:00:00",32484.28000000,32935.00000000,32394.77000000,32856.96000000,6402.18070100,209101591.46210164
"02/01/2021, 20:00:00",32856.95000000,33300.00000000,32421.00000000,32999.98000000,7170.29541200,235363454.12117517
"02/01/2021, 21:00:00",32999.98000000,33220.00000000,32690.00000000,33027.20000000,5844.85649900,192991798.29034694
